PSize;dBolt;dNut;tNut;df;n;lBolt
DN15;19.05;36.6522;19.2532;82.55;4;94.8064
DN20;19.05;36.6522;19.2532;88.9;4;100.9064
DN25;22.225;42.164;22.479;101.6;4;113.458
DN32;22.225;42.164;22.479;111.25;4;113.458
DN40;25.4;47.6504;25.7048;123.95;4;126.5096
DN50;22.225;42.164;22.479;165.1;8;132.758
DN65;25.4;47.6504;25.7048;190.5;8;145.3096
DN80;28.575;53.1622;28.9306;203.2;8;164.9612
DN100;31.75;58.6486;31.7754;241.3;8;182.8508
DN125;38.1;69.6468;38.227;292.1;8;234.354
DN150;34.925;64.1604;35.0012;317.5;12;246.7024
DN200;41.275;75.1586;41.4528;393.7;12;278.4056
DN250;47.625;84.1375;46.83125;482.6;12;321.1625
DN300;50.8;91.6432;51.1302;571.5;16;361.7604
DN350;57.15;102.6414;57.1754;635;16;392.6508
DN400;63.5;113.6396;63.627;704.85;16;430.954
DN450;69.85;124.6378;70.0786;774.7;16;475.8572
DN500;76.2;135.636;76.5302;831.85;16;520.2604
